,rtrating,numofreviews,link,movietitle,year,AspectRatio,BoxOffice(GrossUSA),Director,Distributor,Genre,OriginalLanguage,Producer,Rating,ReleaseDate(Streaming),Runtime,SoundMix,Writer,MovieRuntime,ReleaseDate(Theater),ReleaseType,streamingornot,releasetype
191,90 ,206,/m/kajillionaire,Kajillionaire,2020,Scope(2.35:1),524000.0,Miranda July,Focus Features,Comedy,English,"Dede Gardner, Youree Henley, Jeremy Kleiner",R,"Oct14,2020",1h44m,,Miranda July,104.0,"Sep25,2020 ",limited,1,0
192,96 ,70,/m/zappa_2020,Zappa,2020,,14400.0,Alex Winter,Magnolia Pictures,Documentary,English,"Jade Allen, Devorah De Vries, John Frizzell, Alex Winter, Ahmet Zappa, Glen Zipper",,"Nov27,2020",2h9m,,Alex Winter,129.0,"Nov23,2020 ",limited,1,0
193,85 ,306,/m/just_mercy,Just Mercy,2020,Flat(1.85:1),36000000.0,Destin Daniel Cretton,Warner Bros. Pictures,Drama,English,"Gil Netter, Asher Goldstein, Michael B. Jordan",PG-13,"Dec25,2019",2h16m,Dolby Atmos,"Destin Daniel Cretton, Andrew Lanham",136.0,"Jan10,2020 ",wide,1,1
194,96 ,69,/m/slaxx,Slaxx,2020,,,Elza Kephart,,Comedy,English,"Patricia Gomez, Anne- Marie Gélinas",,"Mar18,2021",1h17m,,"Patricia Gomez, Elza Kephart",77.0,,,1,
195,85 ,303,/m/borat_subsequent_moviefilm,Borat: Subsequent Moviefilm,2020,,,Jason Woliner,,Comedy,English,"Monica Levinson, Anthony Hines",R,"Oct23,2020",1h36m,,"Sacha Baron Cohen, Anthony Hines, Dan Swimer, Peter Baynham, Erica Rivinoja, Dan Mazer, Jena Friedman, Lee Kern",96.0,,,1,
196,94 ,108,/m/love_and_monsters,Love and Monsters,2020,Scope(2.35:1),1000000.0,Michael Matthews,Paramount Pictures,Comedy,English,"Shawn Levy, Dan Cohen",PG-13,"Oct16,2020",1h49m,,"Brian Duffield, Matthew Robinson",109.0,"Oct16,2020 ",limited,1,0
197,79 ,430,/m/birds_of_prey_2020,Birds of Prey And the Fantabulous Emancipation of One Harley Quinn,2020,Scope(2.35:1),84100000.0,Cathy Yan,Warner Bros. Pictures,Comedy,English,"Margot Robbie, Bryan Unkeless, Sue Kroll",R,"Mar23,2020",1h49m,Dolby Atmos,Christina Hodson,109.0,"Feb7,2020 ",wide,1,1
198,91 ,170,/m/the_white_tiger_2020,The White Tiger,2020,Scope(2.35:1),,Ramin Bahrani,,Drama,Hindi,"Ramin Bahrani, Mukul Deora",R,"Jan22,2021",2h6m,,Ramin Bahrani,126.0,"Jan13,2021 ",limited,1,0
199,93 ,126,/m/yes_god_yes,"Yes, God, Yes",2020,,,Karen Maine,Vertical Entertainment,Comedy,English,"Katie Cordeal, Colleen Hammond",R,"Jul28,2020",1h18m,,Karen Maine,78.0,"Jul24,2020 ",limited,1,0
200,93 ,419,/m/nomadland,Nomadland,2021,Scope(2.35:1),,Chloé Zhao,Searchlight Pictures,Drama,English,"Frances Mc Dormand, Peter Spears, Mollye Asher, Dan Janvey, Chloé Zhao",R,"Feb19,2021",1h48m,"D T S, Dolby Digital, Dolby Atmos",Chloé Zhao,108.0,"Feb19,2021 ",wide,1,1
201,96 ,341,/m/judas_and_the_black_messiah,Judas and the Black Messiah,2021,Scope(2.35:1),5000000.0,Shaka King,Warner Bros,Biography,English,"Ryan Coogler, Charles D. King, Shaka King",R,"Feb12,2021",2h6m,,"Will Berson, Shaka King",126.0,"Feb12,2021 ",wide,1,1
202,98 ,282,/m/the_father_2021,The Father,2021,Scope(2.35:1),2100000.0,Florian Zeller,Sony Pictures Classics,Drama,English(UnitedKingdom),"Philippe Carcassonne, Simon Friend, Jean- Louis Livi, Victor Livi, David Parfitt, Christophe Spadone",PG-13,"Mar25,2021",1h37m,,"Christopher Hampton, Florian Zeller",97.0,"Feb26,2021 ",limited,1,0
203,94 ,351,/m/in_the_heights_2021,In the Heights,2021,Scope(2.35:1),29900000.0,Jon M. Chu,Warner Bros. Pictures,Musical,English,"Lin- Manuel Miranda, Quiara Alegría Hudes, Scott Sanders, Anthony Bregman, Mara Jacobs",PG-13,"Jun10,2021",2h23m,Dolby Atmos,Quiara Alegría Hudes,143.0,"Jun10,2021 ",wide,1,1
204,99 ,206,/m/summer_of_soul,"Summer of Soul ...Or, When the Revolution Could Not Be Televised",2021,,2300000.0,"Ahmir"" Questlove"" Thompson",Searchlight Pictures,Documentary,English,"David Dinerstein, Robert Fyvolent, Joseph Patel",PG-13,"Jul2,2021",1h57m,"Dolby Digital, Stereo",,117.0,"Jul2,2021 ",wide,1,1
205,97 ,241,/m/pig_2021,Pig,2021,Scope(2.35:1),3100000.0,Michael Sarnoski,Neon,Mystery&thriller,English,"Vanessa Block, Dimitra Tsingou, Thomas Benski, Ben Giladi, Dori A. Rath, Joseph Restaino, David Carrico, Adam Paulsen, Steve Tisch, Nicolas Cage",R,"Aug3,2021",1h32m,,Michael Sarnoski,92.0,"Jul16,2021 ",wide,1,1
206,95 ,282,/m/the_power_of_the_dog,The Power of the Dog,2021,Scope(2.35:1),,Jane Campion,Netflix,Western,English,"Jane Campion, Iain Canning, Roger Frappier, Tanya Seghatchian, Emile Sherman",R,"Dec1,2021",2h8m,Dolby Digital,Jane Campion,128.0,"Nov17,2021 ",limited,1,0
207,94 ,308,/m/spider_man_no_way_home,Spider-Man: No Way Home,2021,Scope(2.35:1),260100000.0,Jon Watts,Columbia Pictures,Adventure,English,"Kevin Feige, Amy Pascal",PG-13,,2h28m,"Dolby Digital, Dolby Atmos","Chris Mc Kenna, Erik Sommers",148.0,"Dec17,2021 ",wide,0,1
208,96 ,247,/m/coda_2021,CODA,2021,Flat(1.85:1),,Sian Heder,Apple T V+,Comedy,English,"Fabrice Gianfermi, Philippe Rousselet, Patrick Wachsberger",PG-13,"Aug13,2021",1h52m,,Sian Heder,112.0,"Aug13,2021 ",limited,1,0
209,94 ,283,/m/raya_and_the_last_dragon,Raya and the Last Dragon,2021,Scope(2.35:1),54700000.0,"Don Hall, Carlos López Estrada",Walt Disney,Animation,English,"Osnat Shurer, Peter Del Vecho",PG,"Mar5,2021",1h48m,Dolby Atmos,"Adele Lim, Qui Nguyen",108.0,"Mar5,2021 ",wide,1,1
210,98 ,184,/m/the_mitchells_vs_the_machines,The Mitchells vs. The Machines,2021,Flat(1.85:1),,Michael Rianda,Netflix,Animation,English,"Phil Lord, Chris Miller, Kurt Albrecht",PG,"Apr30,2021",1h54m,"Dolby Atmos, Dolby Digital","Michael Rianda, Jeff Rowe",114.0,"Apr23,2021 ",limited,1,0
211,91 ,349,/m/a_quiet_place_part_ii,A Quiet Place Part II,2021,Scope(2.35:1),160200000.0,John Krasinski,Paramount Pictures,Horror,English,"Michael Bay, Andrew Form, Brad Fuller, John Krasinski",PG-13,"Jul13,2021",1h37m,Dolby Atmos,John Krasinski,97.0,"May28,2021 ",wide,1,1
212,93 ,298,/m/west_side_story_2021,West Side Story,2021,Scope(2.35:1),18200000.0,Steven Spielberg,20th Century Studios,Musical,English,"Steven Spielberg, Kristie Macosko Krieger, Kevin Mc Collum",PG-13,,2h36m,"Dolby Atmos, Dolby Digital",Tony Kushner,156.0,"Dec10,2021 ",wide,0,1
213,90 ,359,/m/the_suicide_squad,The Suicide Squad,2021,,55800000.0,James Gunn,Warner Bros. Pictures,Comedy,English,"Peter Safran, Charles Roven",R,"Aug6,2021",2h12m,"Dolby Digital, Dolby Atmos",James Gunn,132.0,"Aug6,2021 ",wide,1,1
214,91 ,321,/m/shang_chi_and_the_legend_of_the_ten_rings,Shang-Chi and the Legend of the Ten Rings,2021,Scope(2.35:1),224500000.0,Destin Daniel Cretton,,Sports&fitness,English,"Kevin Feige, Jonathan Schwartz",PG-13,"Nov12,2021",2h13m,"Dolby Digital, Dolby Atmos","David Callaham, Destin Daniel Cretton, Andrew Lanham",133.0,"Sep3,2021 ",wide,1,1
215,99 ,124,/m/mlk_fbi,MLK/FBI,2021,,44900.0,Samuel D. Pollard,I F C Films,Documentary,English,Benjamin Hedin,,"Jan15,2021",1h42m,,"Benjamin Hedin, Laura Tomaselli",102.0,"Jan15,2021 ",limited,1,0
216,100 ,96,/m/drive_my_car,Drive My Car,2021,,219400.0,Ryûsuke Hamaguchi,Sideshow/ Janus Films,Drama,Japanese,",, Osamu Kubota,,, Keiji Okumura, Jin Suzuki, Teruhisa Yamamoto",,,2h59m,,"Ryûsuke Hamaguchi, Takamasa Oe",179.0,"Nov24,2021 ",limited,0,0
217,97 ,151,/m/shiva_baby,Shiva Baby,2021,,153200.0,Emma Seligman,Utopia,Comedy,English,"Kieran Altmann, Katie Schiller, Lizzie Shapiro",,"Apr2,2021",1h17m,,Emma Seligman,77.0,"Apr2,2021 ",limited,1,0
218,98 ,122,/m/the_velvet_underground_2021,The Velvet Underground,2021,,,Todd Haynes,Apple T V+,Documentary,English,"Christopher Clements, Julie Goldman, David Blackman, Carolyn Hepburn, Pamela Koffler, Christine Vachon",R,"Oct15,2021",1h50m,,Todd Haynes,110.0,"Oct15,2021 ",limited,1,0
219,100 ,66,/m/quo_vadis_aida,"Quo Vadis, Aida?",2021,,,Jasmila Zbanic,Super L T D,War,Bosnian,"Damir Ibrahimovich, Jasmila Zbanic",,"Mar15,2021",1h42m,,Jasmila Zbanic,102.0,"Mar5,2021 ",limited,1,0
220,91 ,284,/m/luca_2021,Luca,2021,Flat(1.85:1),,Enrico Casarosa,Walt Disney,Comedy,English,Andrea Warren,PG,"Jun18,2021",1h40m,"Dolby Atmos, Dolby Digital","Jesse Andrews, Mike Jones",100.0,"Jun18,2021 ",limited,1,0
